,lat,lng,text
3,50.776351,6.083862,"AI Safety Aachen
https://www.aisafetyaachen.org/

Last updated:  06/2024"
4,49.7933723,9.9309779,"AI Safety Würzburg
https://www.aisafetywuerzburg.org/

Last updated:  06/2024"
9,53.2190652,6.5680077,"AI Safety Initiative Groningen (AISIG)
https://www.aisig.org/

Last updated:  06/2024"
10,51.999457199999995,4.362724538543995,"Delft AI Safety Initiative (DAISI)
https://www.delftaisafety.org/

Last updated:  06/2024"
11,51.44855695,5.450122521857143,"Eindhoven AI Safety Team (EAIST)
https://www.eaeindhoven.nl/ai-safety-team

Last updated:  06/2024"
12,51.58561845,5.0660616131367675,"Tilburg AI Safety Initiative (TAISI)
https://www.eatilburg.nl/ai-safety-initiative#:~:text=We%20are%20running%20the%20AI,launch%20on%20a%20rolling%20basis.

Last updated:  06/2024"
13,50.8512438,5.6909768,"Effective Altruism Maastricht (AIS subgroup)
https://www.effectivealtruismmaastricht.nl/

Last updated:  06/2024"
14,52.0907006,5.1215634,"AI Safety Fundamentals Utrecht 
https://chat.whatsapp.com/IXV66oJ2knOIHHmN5EGxGz

Last updated:  06/2024"
16,60.3943055,5.3259192,"AI Safety Bergen 
https://effektivaltruisme.no/uib

Last updated:  06/2024"
22,55.9533456,-3.1883749,"AI Safety Hub Edinburgh
https://aished.org/

Last updated:  06/2024"
23,52.2055314,0.1186637,"Cambridge AI Safety Hub (CAISH)
https://www.cambridgeaisafety.org/

Last updated:  06/2024"
24,51.7520131,-1.2578499,"Oxford Artificial Intelligence Society
https://www.oxai.org/

Last updated:  06/2024"
25,52.4081812,-1.510477,"Warwich Artificial Intelligence
https://warwick.ai/

Last updated:  06/2024"
